nohup: ignoring input
 * Serving Flask app 'master.py' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.21:5000/ (Press CTRL+C to quit)
192.168.1.22 - - [15/Nov/2021 18:58:55] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:56] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:57] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:58] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:58:59] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:00] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:01] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:02] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:03] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:04] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:05] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:06] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:07] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:08] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:09] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:10] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:11] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:12] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:13] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:14] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:15] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:16] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:17] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:18] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:19] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:20] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:21] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:22] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:23] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:24] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:25] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:26] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:27] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:28] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:29] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:30] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:31] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:32] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:33] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:34] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:35] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:36] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:37] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:38] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:39] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:40] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:41] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:42] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:43] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:44] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:45] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:46] "GET /position_relative_json HTTP/1.1" 200 -
192.168.1.22 - - [15/Nov/2021 18:59:47] "GET /position_relative_json HTTP/1.1" 200 -
